Research_Area,Entity,Entity_Type,Address_or_Offset,Signature_or_Key_Members,Why_It_Matters,Primary_Source
Hooking Surface,set_hook_request,struct,N/A,"id; pid; tid; event_min; event_max",Creates hook registration requests used by user32-style hook dispatch,types/structs/set_hook_request__18374686479671857688/struct.json
Hooking Surface,start_hook_chain_request,struct,N/A,"id; event; window; object_id; child_id",Represents chained hook dispatch metadata that can affect animation event flow when UI/input hooks are active,types/structs/start_hook_chain_request__18374686479671857706/struct.json
Hooking Surface,get_hook_info_reply,struct,N/A,"handle; id; pid; tid; proc",Provides runtime hook ownership details useful for debugging animation side effects from hooks,types/structs/get_hook_info_reply__18374686479671859293/struct.json
Animation Core,TESAnimation,struct,N/A,"vtbl; animData",Primary container binding animation records to runtime data,types/structs/TESAnimation__18374686479671995165/struct.json
Animation Core,AnimationNode,struct,N/A,"animationName; next",Linked-list style node used to store animation name chains,types/structs/AnimationNode__18374686479671995167/struct.json
Animation Core,ActorAnimData,struct,N/A,"RootNode; AccumNode; animsMapKey; animsMap; animSequences; nBip01; nLForearm; nTorch",Central per-actor animation state with node and sequence maps,types/structs/ActorAnimData__18374686479671983005/struct.json
Animation API,TESAnimation_constr,function,0x468720,"_DWORD *__thiscall(_DWORD *this)",Entry point for TESAnimation initialization in the runtime,_jsonl/functions/000000.jsonl
Animation API,TESAnimation_ClearReferences,function,0x468740,"void __thiscall(unsigned int *this)",Clears animation references and is likely involved in unload/reset paths,_jsonl/functions/000000.jsonl
Animation API,TESAnimation_CompareTo,function,0x468790,"bool __thiscall(char *this, void *)",Comparison routine used for animation identity/equality checks,_jsonl/functions/000000.jsonl
Animation API,TESAnimation_HasAnimation,function,0x468810,"char __thiscall(char **this, char *Str2)",Name-based lookup for a specific animation entry,_jsonl/functions/000000.jsonl
Animation API,TESAnimation_AddAnimation,function,0x468860,"void __thiscall(char **this, char *)",Adds animation entries into TESAnimation data structures,_jsonl/functions/000000.jsonl
Animation API,TESAnimation_HasAnimations,function,0x4688B0,"bool __thiscall(_DWORD *this)",Boolean gate for non-empty animation sets,_jsonl/functions/000000.jsonl
Animation API,TESAnimation_LoadAnimationChunk,function,0x4688D0,"int __thiscall(char **this, int, Data *)",Deserializer path for chunked animation data loading,_jsonl/functions/000000.jsonl
Animation API,TESAnimation_CopyFrom,function,0x468950,"void __thiscall(char **this, void *)",Copies animation state between animation objects,_jsonl/functions/000000.jsonl
Actor Runtime,ActorAnimData::ApplyActorAnimData,function,0x471F20,"void __thiscall(ActorAnimData *this)",Applies resolved animation state onto actor runtime objects,_jsonl/functions/000000.jsonl
Actor Runtime,TESObjectREFR_GetAnimData,function,0x4D8370,"BSExtraDataVtbl *__thiscall(Actor *this)",High-traffic accessor for retrieving actor animation data,_jsonl/functions/000000.jsonl
Actor Runtime,Player_GetAnimData,function,0x65D750,"void *__thiscall(Actor *this, char a2)",Player-specialized animation data fetch used by many callers,_jsonl/functions/000000.jsonl
Actor Runtime,PlayerCharacter,struct,N/A,"firstPersonAnimData; defaultAnimData",Shows explicit split between first-person and default animation contexts,types/structs/PlayerCharacter__18374686479671985316/struct.json
Process Animation State,HighProcess::GetCurrentActionAnimSequence,function,0x628210,"BSAnimGroupSequence *__thiscall(HighProcess *this)",Returns currently active action animation sequence for high process actors,_jsonl/functions/000000.jsonl
Process Animation State,BaseProcess_vtbl.GetCurrentActionAnimSequence,vtbl slot,N/A,GetCurrentActionAnimSequence,Core process-level polymorphic accessor for current action sequence,types/structs/BaseProcess_vtbl__18374686479672049429/struct.json
Process Animation State,MiddleHighProcess_vtbl.GetCurrentActionAnimSequence,vtbl slot,N/A,GetCurrentActionAnimSequence,Confirms accessor is retained in derived process vtables,types/structs/MiddleHighProcess_vtbl__18374686479671990948/struct.json
Process Animation State,MiddleLowProcess_vtbl.GetCurrentActionAnimSequence,vtbl slot,N/A,GetCurrentActionAnimSequence,Shows sequence retrieval exists across process tiers,types/structs/MiddleLowProcess_vtbl__18374686479671998318/struct.json
Process Animation State,LowProcess_vtbl.GetCurrentActionAnimSequence,vtbl slot,N/A,GetCurrentActionAnimSequence,Low-process actors still expose action anim sequence retrieval,types/structs/LowProcess_vtbl__18374686479671991902/struct.json
Casting Animation Pipeline,MagicCaster_PlayCastingAnimation,function,0x69C0C0,"void __usercall(_DWORD *@<ecx>, double@<st2>, double@<st1>, double@<st0>)",Top-level casting animation dispatcher,_jsonl/functions/000000.jsonl
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation,function,0x5F3E00,"int __cdecl(int, int, int, int, int, int, int, int, int, int, int)",Expanded actor-side casting animation orchestration routine,_jsonl/functions/000000.jsonl
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation:::GetCasterAnimData,function,0x5F3F04,"int __usercall@<eax>(int@<edi>, int, int, int, int, int)",Sub-stage that fetches caster animation data for spell playback,_jsonl/functions/000000.jsonl
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation:::GetAnimGroup,function,0x5F3F1A,"int __usercall@<eax>(int@<edi>, TESObjectREFR *@<esi>, int, int, int, int, int, int, int, int, int)",Resolves animation group before casting animation selection,_jsonl/functions/000000.jsonl
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation:::LoadCastingAnim,function,0x5F3FB7,"int __usercall@<eax>(int@<ebx>, TESObjectREFR *@<esi>)",Loads standard cast animation asset or record,_jsonl/functions/000000.jsonl
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation:::LoadLeftAttackAnim,function,0x5F3FD3,"int __usercall@<eax>(TESObjectREFR *@<esi>)",Loads left-attack fallback animation for cast flow,_jsonl/functions/000000.jsonl
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation:::LoadPowerAttackAnim,function,0x5F4009,"int __usercall@<eax>(TESObjectREFR *@<esi>)",Loads power-attack fallback animation for cast flow,_jsonl/functions/000000.jsonl
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation:::PlayAnim,function,0x5F4068,"void __usercall(int@<ebx>, _DWORD *@<ebp>, int@<edi>, PlayerCharacter *@<esi>, ...)",Final execution stage that issues selected animation playback,_jsonl/functions/000000.jsonl
NPC Animation Adjacency,TESNPC,typedef,N/A,TESNPC,Core NPC type that owns actor presentation and behavior data,types/typedefs/TESNPC__467/typedef.json
NPC Animation Adjacency,TESNPCMembr,struct,N/A,"npcClass; face0; face1; facegenUndo",NPC member block with facegen-related fields affecting facial animation state,types/structs/TESNPCMembr__18374686479672001846/struct.json
NPC Animation Adjacency,TESNPC_SetFaceGenAge,function,0x527860,"void __thiscall(float *this, signed int)",NPC facegen mutation path likely tied to head/facial animation visuals,_jsonl/functions/000000.jsonl
NPC Animation Adjacency,sub_521A10,function,0x521A10,"NiNode **__thiscall(TESNPC *this)",Returns NiNode** from TESNPC and is a likely NPC skeleton/root-node access point,_jsonl/functions/000000.jsonl
Face Animation Types,BSFaceGenAnimationData,typedef,N/A,BSFaceGenAnimationData,Named type indicating dedicated face animation payloads,types/typedefs/BSFaceGenAnimationData__491/typedef.json
Face Animation Types,BSFaceGenMorphDataHead,typedef,N/A,BSFaceGenMorphDataHead,Head morph data type used by face animation/morph systems,types/typedefs/BSFaceGenMorphDataHead__237/typedef.json
Sequence Types,AnimSequenceSingle,typedef,N/A,AnimSequenceSingle,Represents single animation sequence objects,types/typedefs/AnimSequenceSingle__407/typedef.json
Sequence Types,AnimSequenceMultiple,typedef,N/A,AnimSequenceMultiple,Represents multi-branch/compound animation sequence objects,types/typedefs/AnimSequenceMultiple__408/typedef.json
Sequence Types,BSAnimGroupSequence,typedef,N/A,BSAnimGroupSequence,Action group sequence type used by process/action animation accessors,types/typedefs/BSAnimGroupSequence__414/typedef.json
